Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Acevedo, ELizabeth",The Poet X,New Kent Middle School,Virginia,yes,,Informal Challenge,Removed while under review,need more details on the status,,,,,,,
"Chbosky, Stephen",The Perks of Being a WallFlower,Norris School District 160,Nebraska,,,Unknown,unclear,,,,,,,,
"Kerr, M. E.","""Hello,"" I lied : a novel",North East,Texas,yes,,No Challenge Filed,,Removed from shelves for review on basis of Rep Krause letter,,,,,1998,1,
"Thomas, Rachel
 L.","#BlackLivesMatter :
 protesting racism",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,2,
"Mac, Carrie","10 things I can see from
 here",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,
"Brynie, Faith
 Hickman","101 questions about
 reproduction : or how 1 + 1
 = 3 or 4 or more--",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2006,2,
"Brynie, Faith
 Hickman","101 questions about sex
 and sexuality-- : with
 answers for the curious,
 cautious, and confused",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2003,1,
"Trueman, Terry",7 days at the hot corner,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2007,5,
"Craig, Joe","A guy's guide to sexuality
 and sexual identity in the
 21st century",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2012,1,
"Connor, Leslie","A home for goddesses and
 dogs",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,6,
"Lo, Malinda",A line in the dark,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,
"Horner, Emily","A love story starring my
 dead best friend",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2010,2,
"Self, Jeffery","A very, very bad thing",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,
"Juettner, Bonnie",Abortion,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2007,1,
"Rose, Melody","Abortion : a documentary
 and reference guide",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2008,1,
"Lecesne, James",Absolute brightness,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,1,
"Efaw, Amy",After,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2010,3,
"Westerfeld, Scott",Afterworlds,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,13,
"Bell, Eric",Alan Cole is not a coward,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,
"Brugman, Alyssa",Alex as well,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,3,
"Vande Velde,
 Vivian","Alison, who went away",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2001,1,
"Reynolds, Jason and Brendan Kiely",All American Boys,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,51,
"Johnson, George M",All Boys Aren't Blue,North East,Texas,yes,NEISD Folder,No Challenge Filed,Removed,,,,,,,,
"Frick, Kit",All eyes on us,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,2,
"Mitchell, Saundra","All the things we do in the
 dark",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,1,
"Lawson, Richard","All we can do is wait : a
 novel",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2018,3,
"Katcher, Brian",Almost perfect,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2009,3,
"Ortiz, Paul","An African American and
 Latinx history of the United
 States",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2018,1,
"Sass, A. J.",Ana on the edge,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,1,
"Verdi, Jessica",And she was,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2018,2,
"Richardson,
 Justin",And Tango makes three,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2005,9,
"Garden, Nancy",Annie on my mind,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2007,1,
"Juby, Susan",Another kind of cowboy,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2007,2,
"Hoblin, Paul",Archenemy,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2013,3,
"Nagle, Jeanne",Are you LGBTQ?,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,1,
"Stamper, Phil",As far as you'll take me,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2021,2,
"Talley, Robin",As I descended,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,3,
"Lo, Malinda",Ash,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2010,6,
"Heppermann,
 Christine",Ask me how I got here,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,2,
"King, A. S.",Ask the passengers,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2012,8,
"Hutchinson,
 Shaun David",At the edge of the universe,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,2,
"Lauren, Christina",Autoboyography,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,4,
"Ostrovski, Emil",Away we go,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,1,
"Spangler, Brie",Beast,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,3,
"Cronn-Mills,
 Kirstin","Beautiful music for ugly
 children",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2012,3,
"Nutt, Amy Ellis","Becoming Nicole : the
 transformation of an
 American family",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,1,
"Jennings, Jazz.","Being Jazz : my life as a
 (transgender) teen",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,7,
"Ahmed, Sara","Being the Change: Lessons
 and Strategies to Teach
 Social Comprehension",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2018,1,
"Hoffman, Eric",Best best colors,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,1999,1,
"Peters, Julie Anne",Between Mom and Jo,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2006,4,
"Coates, Ta-Nehisi",Between the World and Me,North East,Texas,yes,,,,Removed while under review,,,,,,,
"Coates, Ta-Nehisi",Between the world and me,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,7,
"Reynolds,
 Marilyn","Beyond dreams : true-to-
 life series from Hamilton
 High",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,1995,1,
"Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2014,13,
"Stevenson, Robin",Big guy,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2008,2,
"Altman, Linda  Jacobs","Bioethics : who lives, who
 dies, and who decides?",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2006,3,
"Russo, Meredith",Birthday,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,8,
"Brooks, Kevin",Black Rabbit summer,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2009,0,
"McAdam, Tash",Blood sport,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,3,
"Conley, Garrard","Boy erased : a memoir of
 identity, faith, and family",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2018,1,
"Koertge, Ronald",Boy girl boy,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2005,1,
"Hutchinson,
 Shaun David",Brave Face: A Memoir,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,7,
"Wilkerson, Isabel",Caste - The Origins of our Discontents,North East,Texas,yes,,,,Removed while under review,,,,,,,
"Wilkerson, Isabel","Caste : the origins of our
 discontents",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,4,
"Thomas, Aiden",Cemetery boys,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,2,
"Sim, Tara",Chainbreaker,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2018,2,
"Irving, John",Cider House Rules,North East,Texas,yes,,,,Removed while under review,,,,,,,
"Bayron, Kalynn",Cinderella is dead,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,2,
"Rankine, Claudia",Citizen : an American lyric,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2014,1,
"Craft, Jerry",Class act,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,34,
"Jones, Patrick",Combat zone,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,3,
"Seba, Jaime","Coming out : telling family
 and friends",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2011,3,
"Whitlock, Kay","Considering hate : violence,
 goodness, and justice in
 American culture and
 politics",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,1,
"Patterson, James",Cradle and all,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,1,
"Volponi, Paul",Crossing lines,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2011,1,
"Mac, Carrie",Crush,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2006,5,
"Mesrobian,
 Carrie",Cut both ways,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,1,
"Khorram, Adib",Darius the Great Deserves Better,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,4,
"Beckman, Wendy
 Hart","Dating, relationships, and
 sexuality : what teens
 should know",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2006,1,
"Lukavics, Amy",Daughters unto devils,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,1,
"Bell, William",Death wind,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2002,2,
"Smedley, Zack",Deposing Nathan,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,4,
"Reynolds,
 Marilyn",Detour for Emmy,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,1993,1,
